undergraduate_major;starting_median_salary;mid_career_median_salary;percent_change_from_starting_to_mid_career_salary;mid_career_percentile_salary;value
Accounting;46000;77100;67,6;10th Percentile;42200
Accounting;46000;77100;67,6;25th Percentile;56100
Accounting;46000;77100;67,6;75th Percentile;108000
Accounting;46000;77100;67,6;90th Percentile;152000
Aerospace Engineering;57700;101000;75,0;10th Percentile;64300
Aerospace Engineering;57700;101000;75,0;25th Percentile;82100
Aerospace Engineering;57700;101000;75,0;75th Percentile;127000
Aerospace Engineering;57700;101000;75,0;90th Percentile;161000
Agriculture;42600;71900;68,8;10th Percentile;36300
Agriculture;42600;71900;68,8;25th Percentile;52100
Agriculture;42600;71900;68,8;75th Percentile;96300
Agriculture;42600;71900;68,8;90th Percentile;150000
Anthropology;36800;61500;67,1;10th Percentile;33800
Anthropology;36800;61500;67,1;25th Percentile;45500
Anthropology;36800;61500;67,1;75th Percentile;89300
Anthropology;36800;61500;67,1;90th Percentile;138000
Architecture;41600;76800;84,6;10th Percentile;50600
Architecture;41600;76800;84,6;25th Percentile;62200
Architecture;41600;76800;84,6;75th Percentile;97000
Architecture;41600;76800;84,6;90th Percentile;136000
Art History;35800;64900;81,3;10th Percentile;28800
Art History;35800;64900;81,3;25th Percentile;42200
Art History;35800;64900;81,3;75th Percentile;87400
Art History;35800;64900;81,3;90th Percentile;125000
Biology;38800;64800;67,0;10th Percentile;36900
Biology;38800;64800;67,0;25th Percentile;47400
Biology;38800;64800;67,0;75th Percentile;94500
Biology;38800;64800;67,0;90th Percentile;135000
Business Management;43000;72100;67,7;10th Percentile;38800
Business Management;43000;72100;67,7;25th Percentile;51500
Business Management;43000;72100;67,7;75th Percentile;102000
Business Management;43000;72100;67,7;90th Percentile;147000
Chemical Engineering;63200;107000;69,3;10th Percentile;71900
Chemical Engineering;63200;107000;69,3;25th Percentile;87300
Chemical Engineering;63200;107000;69,3;75th Percentile;143000
Chemical Engineering;63200;107000;69,3;90th Percentile;194000
Chemistry;42600;79900;87,6;10th Percentile;45300
Chemistry;42600;79900;87,6;25th Percentile;60700
Chemistry;42600;79900;87,6;75th Percentile;108000
Chemistry;42600;79900;87,6;90th Percentile;148000
Civil Engineering;53900;90500;67,9;10th Percentile;63400
Civil Engineering;53900;90500;67,9;25th Percentile;75100
Civil Engineering;53900;90500;67,9;75th Percentile;115000
Civil Engineering;53900;90500;67,9;90th Percentile;148000
Communications;38100;70000;83,7;10th Percentile;37500
Communications;38100;70000;83,7;25th Percentile;49700
Communications;38100;70000;83,7;75th Percentile;98800
Communications;38100;70000;83,7;90th Percentile;143000
Computer Engineering;61400;105000;71,0;10th Percentile;66100
Computer Engineering;61400;105000;71,0;25th Percentile;84100
Computer Engineering;61400;105000;71,0;75th Percentile;135000
Computer Engineering;61400;105000;71,0;90th Percentile;162000
Computer Science;55900;95500;70,8;10th Percentile;56000
Computer Science;55900;95500;70,8;25th Percentile;74900
Computer Science;55900;95500;70,8;75th Percentile;122000
Computer Science;55900;95500;70,8;90th Percentile;154000
Construction;53700;88900;65,5;10th Percentile;56300
Construction;53700;88900;65,5;25th Percentile;68100
Construction;53700;88900;65,5;75th Percentile;118000
Construction;53700;88900;65,5;90th Percentile;171000
Criminal Justice;35000;56300;60,9;10th Percentile;32200
Criminal Justice;35000;56300;60,9;25th Percentile;41600
Criminal Justice;35000;56300;60,9;75th Percentile;80700
Criminal Justice;35000;56300;60,9;90th Percentile;107000
Drama;35900;56900;58,5;10th Percentile;36700
Drama;35900;56900;58,5;25th Percentile;41300
Drama;35900;56900;58,5;75th Percentile;79100
Drama;35900;56900;58,5;90th Percentile;153000
Economics;50100;98600;96,8;10th Percentile;50600
